mode,split,scope,pred_key,N,RMSE,MAE,NRMSE,Bias,P90AE
A5_no_risk_feature,test,C3-CO_high_200_250,A5_no_risk_feature_ppm,201,20.015310622092212,11.738715997077499,0.0889569360981876,-6.250515551634078,28.979979819346994
A5_no_risk_feature,test,C3-nonCO,A5_no_risk_feature_ppm,2010,13.11431070937048,4.884270596178769,0.11058721905603637,0.7610998608747116,10.105361116643433
A5_no_risk_feature,test,C4,A5_no_risk_feature_ppm,1360,28.167682928222657,9.410063555928849,0.13113866142290861,-2.2781088205086704,16.313880027124398
A5_no_risk_feature,test,C4-CO,A5_no_risk_feature_ppm,340,54.20708106810707,22.504273216355706,0.24092036030269812,-10.478809246177276,33.8426360329072
A5_no_risk_feature,test,C4-CO_low_25_100,A5_no_risk_feature_ppm,136,9.59701175105634,7.585513210550539,0.042653385560250404,6.983933742555292,14.892692625073046
A5_no_risk_feature,test,C4-CO_mid_125_175,A5_no_risk_feature_ppm,102,17.908504869489626,14.838711236761172,0.07959335497550947,0.35261889117986317,32.12744398331302
A5_no_risk_feature,test,C4-CO_high_200_250,A5_no_risk_feature_ppm,102,96.70146879453635,50.06151520369045,0.4297843057534949,-44.5938947018445,237.5
A5_no_risk_feature,test,C4-nonCO,A5_no_risk_feature_ppm,1020,8.855616075975215,5.04532700245323,0.05985196758332786,0.45545798804753124,11.43022800385153
A5_no_risk_feature,test,C5,A5_no_risk_feature_ppm,1360,28.53309737745913,10.499085597622148,0.20999483779196768,0.6321202963916404,23.84243345177697
A5_no_risk_feature,test,C5-CO,A5_no_risk_feature_ppm,340,26.849515813550635,17.758432076874016,0.11933118139355837,-5.504022128853786,36.41128393309119
A5_no_risk_feature,test,C5-CO_low_25_100,A5_no_risk_feature_ppm,136,19.63361075360573,13.187424415369504,0.08726049223824768,-3.2080985338780628,26.27758951330722
A5_no_risk_feature,test,C5-CO_mid_125_175,A5_no_risk_feature_ppm,102,26.011637378247848,17.85848776621581,0.11560727723665712,2.6132851806466526,35.217828158826144
A5_no_risk_feature,test,C5-CO_high_200_250,A5_no_risk_feature_ppm,102,34.81969974996081,23.753053269538224,0.15475422111093698,-16.68256089832186,44.93295386104911
A5_no_risk_feature,test,C5-nonCO,A5_no_risk_feature_ppm,1020,29.072633663430835,8.079303437871529,0.23248756005739096,2.6775011048067827,10.599048133053124
A5_no_risk_feature,test,nonCO_ALL,A5_no_risk_feature_ppm,4050,17.831882292749544,5.729507888259403,0.1434725761591129,1.1667725913752027,10.535172602497916
A6_no_ppm_no_risk_direct_only,test,ALL,A6_no_ppm_no_risk_direct_only_ppm,5400,22.38865935493217,7.975308940031626,0.14362731130122694,-0.35972726025000107,15.575040663327929
